Filename,Source_Path,Status,Colony_Count,Raw_Colony_Count,Too_Many_To_Count,Too_Many_To_Count_Limit,Count_Stopped_Early,Manual_Count,Count_Error,Percent_Error,Detection_Sensitivity,Colony_Size,Split_Touching,Detected_Polarity,Auto_Threshold,Threshold_Sweep,Accepted_Threshold_Components,Binary_Threshold,Erosion_Iterations,Min_Solidity,Min_Colony_Area,Max_Colony_Area,Diagnostics_Path,Colonies_Debug_CSV,Output_Path
conc1_high_10^-4.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/conc1_high_10^-4.jpg,Success,44,44,False,300,False,,,,50.0,Medium,True,YOLO masked plate,0.225,,44,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/conc1_high_10^-4_colonies_counted.png
WT(1)10^-2.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/WT(1)10^-2.jpg,Success,162,162,False,300,False,,,,50.0,Medium,True,YOLO masked plate,0.225,,162,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/WT(1)10^-2_colonies_counted.png
WT(2)10^-2.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/WT(2)10^-2.jpg,Success,257,257,False,300,False,,,,50.0,Medium,True,YOLO masked plate,0.225,,257,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/WT(2)10^-2_colonies_counted.png
WT(3)10^-2.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/WT(3)10^-2.jpg,Too Many To Count,Too many to count,301,True,300,True,,,,50.0,Medium,True,YOLO masked plate,0.225,,301,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/WT(3)10^-2_colonies_counted.png
conc1_high_10^-2.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/conc1_high_10^-2.jpg,Too Many To Count,Too many to count,301,True,300,True,,,,50.0,Medium,True,YOLO masked plate,0.225,,301,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/conc1_high_10^-2_colonies_counted.png
conc1_high_10^-3.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/conc1_high_10^-3.jpg,Too Many To Count,Too many to count,301,True,300,True,,,,50.0,Medium,True,YOLO masked plate,0.225,,301,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/conc1_high_10^-3_colonies_counted.png
conc1_low_10^-2.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/conc1_low_10^-2.jpg,Too Many To Count,Too many to count,301,True,300,True,,,,50.0,Medium,True,YOLO masked plate,0.225,,301,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/conc1_low_10^-2_colonies_counted.png
conc1_low_10^-3.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/conc1_low_10^-3.jpg,Too Many To Count,Too many to count,301,True,300,True,,,,50.0,Medium,True,YOLO masked plate,0.225,,301,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/conc1_low_10^-3_colonies_counted.png
conc1_low_10^-4.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/conc1_low_10^-4.jpg,Success,30,30,False,300,False,,,,50.0,Medium,True,YOLO masked plate,0.225,,30,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/conc1_low_10^-4_colonies_counted.png
conc2_high_10^-3.jpg,/Users/jinko/Desktop/Swim Diameter Project/Sample Colonies Images/conc2_high_10^-3.jpg,Too Many To Count,Too many to count,301,True,300,True,,,,50.0,Medium,True,YOLO masked plate,0.225,,301,30,0,0.9,15,4000,,,/Users/jinko/Desktop/Swim Diameter Project/colony_output/conc2_high_10^-3_colonies_counted.png
